soil_ph,soil_moisture,soil_temperature,total_N,fertilizer_type,nh3,log_nh3,log_totalN,Ref
5.3,17,19.4,872.1,1,268.9,5.594339563,6.770904096,ALFAM21
5.3,17,19.4,703.8,1,237.5,5.470167623,6.556494225,ALFAM21
5.3,17,19.4,872.1,1,224.7,5.414766179,6.770904096,ALFAM21
5.3,17,19.4,703.8,1,194.6,5.27094617,6.556494225,ALFAM21
5.3,17,19.4,703.8,1,193.1,5.263208189,6.556494225,ALFAM21
6.3,57,15.1,139.7,1,166.2,5.113191882,4.939497266,ALFAM21
5.5,47,6.7,181.9,1,151.3,5.019264621,5.203457086,ALFAM21
5.5,47,6.7,167.8,1,149,5.003946306,5.122772794,ALFAM21
6.3,57,15.2,139.7,1,135.3,4.907494535,4.939497266,ALFAM21
5.5,47,6.7,181.9,1,112.6,4.723841716,5.203457086,ALFAM21
5.5,47,6.7,181.9,1,104.1,4.645351976,5.203457086,ALFAM21
7.9,32.4,15.4,190.4,1,103.3,4.637637376,5.249127122,ALFAM21
7.9,32.4,15.4,190.4,1,74.5,4.310799125,5.249127122,ALFAM21
7.9,32.4,15.4,190.4,1,63.4,4.149463861,5.249127122,ALFAM21
7.9,32.4,15.4,190.4,1,58.7,4.072439727,5.249127122,ALFAM21
5.6,41,14,160.4,1,54.6,4.000033883,5.077670695,ALFAM21
8,25.9,5.8,221.4,1,54.1,3.990834186,5.39997102,ALFAM21
7.1,24.7,14.4,150,1,54,3.988984047,5.010635294,Webb et al.2
6.6,30,13.4,159.1,1,50.3,3.918005077,5.069532935,ALFAM21
6.4,24,9.7,150.2,1,47.5,3.860729711,5.011967739,ALFAM21
6.6,30,13.4,101.2,1,46.2,3.832979798,4.617098757,ALFAM21
6.4,24,9.7,139.7,1,43.4,3.770459441,4.939497266,ALFAM21
6.4,24,9.7,139.7,1,42.3,3.744787086,4.939497266,ALFAM21
6.4,24,9.7,150.2,1,41.6,3.728100167,5.011967739,ALFAM21
6.6,30,13.4,159.1,1,41.3,3.7208625,5.069532935,ALFAM21
8.3,40,18.6,119.3,0,40.6,3.703768067,4.781641329,Yang et al.3
6.4,24,9.7,111.7,1,39.5,3.676300672,4.715816706,ALFAM21
6.4,24,9.7,139.7,1,39.3,3.671224519,4.939497266,ALFAM21
7.9,32.4,15.4,190.4,1,39.1,3.666122467,5.249127122,ALFAM21
6.6,30,13.4,159.1,1,38.1,3.640214282,5.069532935,ALFAM21
6.6,30,13.4,115.5,1,37.2,3.616308761,4.74927053,ALFAM21
6.6,30,13.4,115.5,1,36.7,3.602776755,4.74927053,ALFAM21
6.4,24,9.7,150.2,1,36.1,3.586292865,5.011967739,ALFAM21
8.2,18.9,10.2,107,1,35.9,3.580737295,4.672828834,ALFAM21
7.9,32.4,15.4,190.4,1,35.4,3.56671182,5.249127122,ALFAM21
5.6,41,14,160.4,1,34.8,3.549617387,5.077670695,ALFAM21
5.6,41,14,160.4,1,34.5,3.540959324,5.077670695,ALFAM21
7.6,17.9,24.5,76,1,34.5,3.540959324,4.33073334,ALFAM21
6.4,24,9.7,111.7,1,33.9,3.523415014,4.715816706,ALFAM21
6.5,31,5.8,120.9,1,33.7,3.517497837,4.794963758,ALFAM21
6.6,30,13.4,95.7,1,33.7,3.517497837,4.561218298,ALFAM21
6.6,30,13.4,85.9,1,33.1,3.499533282,4.453183829,ALFAM21
6.6,30,13.4,101.2,1,33.1,3.499533282,4.617098757,ALFAM21
8,25.1,17.4,164.8,1,33.1,3.499533282,5.104732617,ALFAM21
8.3,22,23.2,174,0,32.8,3.490428515,5.159055299,Yang et al.4
6.4,24,9.7,142.8,1,32.7,3.487375078,4.96144505,ALFAM21
6.4,24,9.7,139.4,1,32.3,3.47506723,4.937347498,ALFAM21
5.5,47,6.7,167.8,1,31.7,3.456316681,5.122772794,ALFAM21
6.5,24,16.4,152.4,1,31.7,3.456316681,5.026508643,ALFAM21
6.4,14.5,12.6,223.4,1,31.6,3.453157121,5.408963887,ALFAM21
5.5,47,6.7,204.8,1,31.4,3.446807893,5.322033893,ALFAM21
6.4,14.5,12.9,223.4,1,31.2,3.440418095,5.408963887,ALFAM21
6.4,21,18.5,109,1,31.1,3.437207819,4.691347882,Carozzi et al.5
