SiteID,EventID,Date_,RawEvent,GearSpecific,GearBasic,Weather,SetTime,Temperature,Salinity,TidalStage,Comments,ProjectName
1780,9996,5/29/1976,6,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,9997,6/18/1976,12,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1713,9998,6/18/1976,13,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,9999,6/18/1976,14,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10000,6/18/1976,15,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1588,10001,6/24/1976,22,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1539,10002,6/29/1976,21,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1610,10003,6/29/1976,20,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1734,10004,7/26/1976,26,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1608,10005,7/27/1976,30,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1791,10006,7/27/1976,31,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1539,10007,7/27/1976,33,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1610,10008,7/27/1976,34,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1708,10009,7/27/1976,35,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1713,10010,7/27/1976,37,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10011,7/27/1976,39,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10012,7/28/1976,40,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10013,7/28/1976,41,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1775,10014,7/28/1976,43,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1775,10015,7/28/1976,46,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1588,10016,7/28/1976,47,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1774,10017,8/3/1976,53,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1777,10018,8/3/1976,54,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1775,10019,8/3/1976,55,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1734,10020,8/4/1976,56,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1734,10021,8/5/1976,65,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1539,10022,8/24/1976,66,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1610,10023,8/24/1976,68,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1610,10024,8/24/1976,67,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1610,10025,8/24/1976,69,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1710,10026,8/24/1976,71,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10027,8/25/1976,73,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10028,8/25/1976,74,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10029,8/25/1976,75,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1588,10030,8/27/1976,77,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1791,10031,8/27/1976,79,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1608,10032,8/27/1976,78,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1595,10033,9/1/1976,97,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1734,10034,9/1/1976,98,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1775,10035,9/2/1976,100,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1774,10036,9/2/1976,101,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1767,10037,9/2/1976,99,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1539,10038,9/21/1976,106,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1610,10039,9/21/1976,107,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1708,10040,9/21/1976,109,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1708,10041,9/21/1976,108,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1710,10042,9/21/1976,110,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1713,10043,9/21/1976,111,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10044,9/22/1976,115,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1737,10045,9/22/1976,114,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1734,10046,9/22/1976,116,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1791,10047,9/23/1976,127,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1588,10048,9/29/1976,130,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1608,10049,9/29/1976,131,BSEINE-76,beach seine,,NA,NA,NA,,,USGS-1976-KBAY
1589,6691,6/16/1995,950616001,BSEINE-K,beach seine,,16:00:00,NA,NA,HIGH,,USGS-Robards-KBAY
1610,6692,6/17/1995,950617002,BSEINE-K,beach seine,,14:00:00,NA,NA,LOW,,USGS-Robards-KBAY
1737,6693,6/19/1995,950619003,BSEINE-K,beach seine,,9:00:00,NA,NA,HIGH,,USGS-Robards-KBAY
1710,6694,6/19/1995,950619004,BSEINE-K,beach seine,,10:05:00,NA,NA,HIGH,,USGS-Robards-KBAY
1708,6695,6/19/1995,950619005,BSEINE-K,beach seine,,10:45:00,NA,NA,HIGH,,USGS-Robards-KBAY
1732,6696,6/22/1995,950622006,BSEINE-K,beach seine,,11:05:00,NA,NA,HIGH,,USGS-Robards-KBAY
1735,6697,6/22/1995,950622007,BSEINE-K,beach seine,,10:00:00,NA,NA,HIGH,,USGS-Robards-KBAY
1588,6698,6/27/1995,950627008,BSEINE-K,beach seine,,17:15:00,NA,NA,HIGH,,USGS-Robards-KBAY
1791,6699,6/27/1995,950627009,BSEINE-K,beach seine,,17:45:00,NA,NA,HIGH,,USGS-Robards-KBAY
1589,6700,6/27/1995,950627010,BSEINE-K,beach seine,,18:30:00,NA,NA,LOW,,USGS-Robards-KBAY
1585,6701,6/28/1995,950628011,BSEINE-K,beach seine,,17:30:00,NA,NA,HIGH,,USGS-Robards-KBAY
1734,6702,6/28/1995,950628012,BSEINE-K,beach seine,,18:15:00,NA,NA,HIGH,,USGS-Robards-KBAY
1779,6703,6/28/1995,950628013,BSEINE-K,beach seine,,18:50:00,NA,NA,HIGH,,USGS-Robards-KBAY
1776,6704,6/28/1995,950628014,BSEINE-K,beach seine,,19:15:00,NA,NA,LOW,,USGS-Robards-KBAY
1774,6705,6/29/1995,950629015,BSEINE-K,beach seine,,12:00:00,NA,NA,LOW,,USGS-Robards-KBAY
