"CiteID","FullCitation","doi","ProjectName"
1,"Johnson, S.W., A.D. Neff, J.F. Thedinga, M.R. Lindeberg, & J.M. Maselko. 2012. Atlas of nearshore fishes of Alaska: A synthesis of marine surveys from 1998 to 2011. U.S. Dep. Commer., NOAA Tech. Memo. NMFS-AFSC-239, 261 p.","","SYNTHESIS"
2,"Thedinga, J.F., S.W. Johnson, and D.J. Csepp. 2006. Nearshore fish assemblages in the vicinity of two Steller sea lion haul-outs in southeastern Alaska. Pages 269-284 in Sea Lions of the World. Alaska Sea Grant College Program Report AK-SG-06-01.","","Sea lion prey"
3,"Johnson, S.W., J.F. Thedinga, A.D. Neff, P.M. Harris, M.R. Lindeberg, & S.D. Rice. 2010. Fish assemblages in nearshore habitats of Prince William Sound, Alaska. Northwest Science 84:266-280. DOI: https://doi.org/10.3955/046.084.0306","https://doi.org/10.3955/046.084.0306","PWS seasonal"
4,"Thedinga, J.F., S.W. Johnson, & A.D. Neff. 2011. Diel differences in fish assemblages in nearshore eelgrass and kelp habitats in Prince William Sound, Alaska. Environmental Biology of Fishes 90:61-70. DOI: https://doi.org/10.1007/s10641-010-9718-6","https://doi.org/10.1007/s10641-010-9718-6","PWS diel"
5,"Harris, P.M., A.D. Neff, S.W. Johnson, and J.F. Thedinga. 2008. Eelgrass habitat and faunal assemblages in the City and Borough of Juneau, Alaska. U.S. Dep. Commer., NOAA Tech. Memo. NMFS-AFSC-182, 46 p.","","CBJ eelgrass"
6,"Harris, P.M., A.D. Neff, & S.W. Johnson. 2012. Changes in eelgrass habitat & faunal assemblages associated with coastal development in Juneau, Alaska. U.S. Dep. Commer., NOAA Tech. Memo. NMFS-AFSC-240, 47 p.","","CBJ eelgrass"
7,"Miller, K., Huettmann F., Norcross B., and Lorenz M. 2014. Multivariate random forest models of estuarine-associated fish and invertebrate communities. Mar. Ecol. Prog. Ser. 500:159-174. DOI: https://doi.org/10.3354/meps10659","https://doi.org/10.3354/meps10659","Estuaries"
8,"Miller, K. B., Huettmann F., and Norcross B. L. 2015. Efficient spatial models for predicting the occurrence of subarctic estuarine-associated fishes: implications for management. Fish. Manage. Ecol. 22:501-517. DOI: https://doi.org/10.1111/fme.12148","https://doi.org/10.1111/fme.12148","Estuaries"
9,"Neff, A.D. 2012. Nearshore faunal assemblages of the eastern Beaufort Sea, Alaska. USACE report. 15 p.","","USACE - Kaktovik"
10,"Castellote, M., K.M. Stafford, A.D. Neff, and W. Lucey. 2015. Acoustic monitoring and prey association for beluga, Delphinapterus leucas, and harbor porpoise, Phocoena phocoena, off two river mouths in Yakutat Bay, Alaska. Marine Fisheries Review 77(1):1-10. DOI: dx.doi.org/10.7755/MFR.77.1.1","dx.doi.org/10.7755/MFR.77.1.1","USACE - Yakutat"
11,"Neff, A.D. 2016. Nearshore faunal assemblages in the vicinity of Yakutat, Alaska. USACE project report. 45 p.","","USACE - Yakutat"
12,"Neff, A.D. 2017. Nearshore marine biota in the vicinity of Cape Blossom in Kotzebue Sound, Alaska.
USACE project report. 15 p.","","USACE - Kotzebue"
13,"Neff, A.D. 2018. Marine biota in Iliuliuk Bay, Alaska. USACE project report. 25 p.","","USACE - Dutch Dredge"
14,"Miller, K., Shaftel R., and Bogan D. 2020. Diets and prey items of juvenile Chinook (Oncorhynchus tshawytscha) and coho (O. kisutch) salmon on the Yukon Delta. NOAA Technical Memorandum NMFS-AFSC-410 54.","https://doi.org/10.25923/rjxv-v629","YUKON"
15,"Howard, K., Miller K., and Murphy J. M. 2017. Estuarine fish ecology of the Yukon River Delta 2014-2015. Fisheries Data Series No. 17-16. Alaska Department of Fish and Game, Division of Sport Fish and Commercial Fish.","","YUKON"
16,"Miller, K., Neff D., Howard K., and Murphy J. M. 2016. Spatial distribution, nutritional status and community composition of juvenile Chinook salmon and other fishes in the Yukon River estuary. NOAA Technical Memorandum NMFS AFSC-2985.","http://doi.org/10.7289/V5/TM-AFSC-334","YUKON"
17,"Robards, M. D., Piatt, J. F., Kettle, A. B., & Abookire, A. A. (1999). Temporal and geographic variation in fish communities of lower Cook Inlet, Alaska. Fishery Bulletin, 97, 962–977.","","USGS-Robards-KBAY"
18,"Robards, M. D., Piatt, J. F., Kettle, A. B., & Abookire, A. A. (1999). Temporal and geographic variation in fish communities of lower Cook Inlet, Alaska. Fishery Bulletin, 97, 962–977.","","USGS-Abookire"
