"GearCode","GearSpecific","Description","GearBasic","Specifications"
1,"BSEINE-4FT","Darcie's short beach seine","beach seine","37 m long pelagic beach seine with 3.2 mm mesh and 4 ft (1.2 m) depth throughout; floats remain on surface in water deeper than net"
34,"BSEINE-5P","NERRS 5-panel beach seine","beach seine","30.5 X 3.7 m and was comprised of 5 variable mesh panels (31.8, 6.4, 3.2 mm). Panels were symmetric about the midline of the net with the smallest mesh at the center."
39,"BSEINE-76","Blackburn's beach seine from 1976 sampling","beach seine","155 ft long pelagic beach seine, 12 ft deep in the middle and tapered to 3 ft deep at the end and dyed green. Center panel was 35 ft long and constructed of knotless nylon 1/4 stretch mesh."
17,"BSEINE-A","USGS ""Apex"" beach seine","beach seine","35 m long pelagic beach seine with wing mesh of 6 mm; center panel 5.4 m deep and 3 mm mesh; floats remain on surface in water deeper than net"
29,"BSEINE-B","Beaudreau's black beach seine","beach seine","15.2 m long x 2.4 m deep beach seine with 0.95 cm stretched knotless black mesh, Manufacturer = Christensen"
18,"BSEINE-C","USGS-""Chisik"" beach seine","beach seine","18 m long pelagic beach seine with wing mesh of 6 mm; center panel 5.5 m deep and 3 mm mesh; floats remain on surface in water deeper than net"
31,"BSEINE-DEM3","ABL demersal beach seine","beach seine","37-m long demersal beach seine with wing mesh of 12.7 mm; net tapering in height from 0.9 m at end to 2.4m in center; center bag 2.4 m deep and 3.2 mm mesh; lead line remains on substrate in water deeper than net"
2,"BSEINE-DEM5","Ben Laurel's demersal beach seine","beach seine","37-m long demersal beach seine with wing mesh of 12.7 mm; net tapering in height from 0.9 m at end to 2.4m in center; center bag 2.4 m deep and 5.2 mm mesh; lead line remains on substrate in water deeper than net"
53,"BSEINE-GOA11","Olav's small beach seine used in 2011","beach seine","29 x 5.5 ft beach seine with three panels: wings with 3.9 mm stretched knotless nylon mesh and ~ 5.5 ft center bag with setback and 2.35 mm stretched knotless nylon mesh."
54,"BSEINE-GOA13","Olav's larger beach seine used in 2013","beach seine","57 x 5.5 ft beach seine with three panels: wings with 3.9 mm stretched knotless nylon mesh and  11 ft center bag with 6' setback and 2.35 mm stretched knotless nylon mesh."
19,"BSEINE-K","USGS ""Kachemak"" beach seine","beach seine","44 m long pelagic beach seine with variable wing mesh from 13 to 6 mm; center panel 3.9 m deep and 3 mm mesh; floats remain on surface in water deeper than net"
50,"BSEINE-NERRa","34 m KBNERR nearshore fish program net","beach seine","34 m tapered nylon mesh beach seine; middle section 8 m width x  5 m depth with 3 mm mesh"
51,"BSEINE-NERRb","23 m KBNERR nearshore fish program net","beach seine","22.9  m  non-tapered nylon mesh beach seine; middle section 7.6 m  width x 3 m  depth with 3 mm mesh"
20,"BSEINE-P","USGS ""Puget Sound"" beach seine","beach seine","37 m long pelagic beach seine with wing mesh of 6 mm; center panel 2.4 m deep and 3 mm mesh; floats remain on surface in water deeper than net"
21,"BSEINE-S","USGS ""SFFEP"" beach seine","beach seine","37 m long beach seine with wing mesh of 28 mm; center panel 2.4 m deep and 6 mm mesh"
25,"BSEINE-SM","Olav's small beach seine","beach seine","DELETE. this gear is not in Events table and can be deleted"
28,"BSEINE-small","Beaudreau's small mesh beach seine","beach seine","10-m long × 2.4 m deep beach seine with 0.64 cm stretched knotless white mesh, Manufacturer = Memphis Net & Twine"
3,"BSEINE-STD","standard beach seine","beach seine","37 m long pelagic beach seine with variable mesh, 12 ft deep and 3.2 mm mesh at center panel of codend; floats remain on surface in water deeper than net."
