"SpCode","Taxa","Sp_CommonName","Sp_ScientificName","Fam_CommonName","FMP","FMP_BSAI","FMP_GOA","FMP_Arctic","FMP_Salmon","Fam_ScientificName"
"ALIGTR","Fish","Alligatorfish","Aspidophoroides monopterygius","poachers",0,0,0,0,0,"Agonidae"
"ALIGTRAL","Fish","Aleutian alligatorfish","Aspidophoroides bartoni","poachers",0,0,0,0,0,"Agonidae"
"ALIGTRAR","Fish","Arctic alligatorfish","Aspidophoroides olrikii","poachers",0,0,0,0,0,"Agonidae"
"ALIGTRSM","Fish","Smooth aligatorfish","Anoplagonus inermis","poachers",0,0,0,0,0,"Agonidae"
"BOCACCIO","Fish","Bocaccio","Sebastes paucispinis","rockfishes",1,0,1,0,0,"Scorpaenidae"
"CABEZON","Fish","Cabezon","Scorpaenichthys marmoratus","sculpins",0,0,0,0,0,"Cottidae"
"CAPELIN","Fish","Capelin","Mallotus villosus","smelts",0,0,0,0,0,"Osmeridae"
"CISCARC","Fish","Arctic cisco","Coregonus autumnalis","whitefishes",0,0,0,0,0,"Coregoninae"
"CISCBER","Fish","Bering cisco","Coregonus laurettae","whitefishes",0,0,0,0,0,"Coregoninae"
"CISCLST","Fish","Least cisco","Coregonus sardinella","whitefishes",0,0,0,0,0,"Coregoninae"
"CLINGFKE","Fish","Kelp clingfish","Rimicola muscarum","clingfishes",0,0,0,0,0,"Gobiescocidae"
"CLINGN","Fish","Northern clingfish","Gobiesox maeandricus","clingfishes",0,0,0,0,0,"Gobiescocidae"
"COCKSHI","Fish","High cockscomb","Anoplarchus purpurescens","pricklebacks",0,0,0,0,0,"Stichaeidae"
"COCKSSL","Fish","Slender cockscomb","Anoplarchus insignis","pricklebacks",0,0,0,0,0,"Stichaeidae"
"CODARC","Fish","Arctic cod","Boreogadus saida","cods",1,0,0,1,0,"Gadidae"
"CODPAC","Fish","Pacific cod","Gadus macrocephalus","cods",1,1,1,0,0,"Gadidae"
"CODSAF","Fish","Saffron cod","Eleginus gracilis","cods",1,0,0,1,0,"Gadidae"
