"SiteID","RegionCode","Region","Location","RawSite","Lat","Long","Habitat","Comments"
1,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","B01",58.57,-134.92,"Kelp",""
2,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B02",58.56,-134.91,"Kelp",""
3,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B03",58.56,-134.9,"Kelp",""
4,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B04",58.56,-134.91,"Sand-Gravel",""
5,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B05",58.56,-134.89,"Bedrock",""
6,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Amalga Harbor","B10",58.5,-134.79,"Sand-Gravel",""
7,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Amalga Harbor","B11",58.5,-134.81,"Sand-Gravel",""
8,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Eagle Beach","B08",58.51,-134.83,"Sand-Gravel",""
9,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Eagle Beach","B09",58.51,-134.84,"Sand-Gravel",""
10,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B10",58.55,-134.9,"Sand-Gravel",""
11,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","B11",58.55,-134.89,"Sand-Gravel",""
12,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Sentinel Island","B12",58.54,-134.92,"Bedrock",""
13,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Sentinel Island","B13",58.54,-134.92,"Bedrock",""
14,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Gull Island","B14",58.5,-134.86,"Kelp",""
15,"GOA","Gulf of Alaska","southeastern Alaska, Favorite Channel, Gull Island","B15",58.5,-134.86,"Kelp",""
16,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","B18",58.57,-134.92,"Sand-Gravel",""
17,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay, Slate Creek Cove","B12",58.77,-135,"Sand-Gravel",""
18,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay, Slate Creek Cove","B13",58.78,-135.02,"Sand-Gravel",""
19,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay, Slate Creek Cove","B14",58.77,-134.98,"Sand-Gravel",""
20,"GOA","Gulf of Alaska","southeastern Alaska, Berners Bay","B15",58.77,-134.93,"Sand-Gravel",""
21,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Yankee Cove","B16",58.6,-134.91,"Sand-Gravel",""
22,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Yankee Cove","B17",58.59,-134.9,"Sand-Gravel",""
23,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B01",57.29,-133.86,"Sand-Gravel",""
24,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B02",57.3,-133.86,"Kelp",""
25,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B03",57.3,-133.84,"Kelp",""
26,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B04",57.3,-133.83,"Kelp",""
29,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B05",57.3,-133.81,"Kelp",""
30,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B06",57.29,-133.82,"Sand-Gravel",""
31,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B07",57.29,-133.81,"Eelgrass",""
32,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B08",57.29,-133.82,"Kelp",""
33,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B09",57.28,-133.86,"Kelp",""
35,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, East Brother Island","B10",57.3,-133.8,"Bedrock",""
36,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B11",57.3,-133.84,"Bedrock",""
37,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, Little Brother Island","B12",57.29,-133.79,"Bedrock",""
38,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B13",57.3,-133.86,"Bedrock",""
39,"GOA","Gulf of Alaska","southeastern Alaska, Frederick Sound, The Brothers Islands, West Brother Island","B14",57.28,-133.84,"Bedrock",""
40,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J01",58.56,-134.9,"Sand-Gravel",""
41,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J02",58.57,-134.93,"Sand-Gravel",""
42,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, Benjamin Island","J03",58.57,-134.92,"Sand-Gravel",""
43,"GOA","Gulf of Alaska","southeastern Alaska, Lynn Canal, North Island","J05",58.58,-134.93,"Sand-Gravel",""
