time,airTemperature.noaa,airTemperature.sg
2021-09-23T00:00:00+00:00,24.52,24.52
2021-09-23T01:00:00+00:00,24.35,24.35
2021-09-23T02:00:00+00:00,24.18,24.18
2021-09-23T03:00:00+00:00,24.01,24.01
2021-09-23T04:00:00+00:00,23.49,23.49
2021-09-23T05:00:00+00:00,22.98,22.98
2021-09-23T06:00:00+00:00,22.46,22.46
2021-09-23T07:00:00+00:00,20.93,20.93
2021-09-23T08:00:00+00:00,19.39,19.39
2021-09-23T09:00:00+00:00,17.85,17.85
2021-09-23T10:00:00+00:00,18.32,18.32
2021-09-23T11:00:00+00:00,18.78,18.78
2021-09-23T12:00:00+00:00,19.25,19.25
2021-09-23T13:00:00+00:00,20.32,20.32
2021-09-23T14:00:00+00:00,21.4,21.4
2021-09-23T15:00:00+00:00,22.47,22.47
2021-09-23T16:00:00+00:00,23.58,23.58
2021-09-23T17:00:00+00:00,24.68,24.68
2021-09-23T18:00:00+00:00,25.79,25.79
2021-09-23T19:00:00+00:00,25.29,25.29
2021-09-23T20:00:00+00:00,24.78,24.78
2021-09-23T21:00:00+00:00,24.28,24.28
2021-09-23T22:00:00+00:00,23.17,23.17
2021-09-23T23:00:00+00:00,22.05,22.05
2021-09-24T00:00:00+00:00,20.93,20.93
2021-09-24T01:00:00+00:00,20.16,20.16
2021-09-24T02:00:00+00:00,19.39,19.39
2021-09-24T03:00:00+00:00,18.62,18.62
2021-09-24T04:00:00+00:00,18.27,18.27
2021-09-24T05:00:00+00:00,17.92,17.92
2021-09-24T06:00:00+00:00,17.57,17.57
2021-09-24T07:00:00+00:00,17.06,17.06
2021-09-24T08:00:00+00:00,16.56,16.56
2021-09-24T09:00:00+00:00,16.05,16.05
2021-09-24T10:00:00+00:00,16.1,16.1
2021-09-24T11:00:00+00:00,16.14,16.14
2021-09-24T12:00:00+00:00,16.19,16.19
2021-09-24T13:00:00+00:00,18.23,18.23
2021-09-24T14:00:00+00:00,20.27,20.27
2021-09-24T15:00:00+00:00,22.3,22.3
2021-09-24T16:00:00+00:00,23.7,23.7
2021-09-24T17:00:00+00:00,25.1,25.1
2021-09-24T18:00:00+00:00,26.5,26.5
2021-09-24T19:00:00+00:00,26.56,26.56
2021-09-24T20:00:00+00:00,26.61,26.61
2021-09-24T21:00:00+00:00,26.66,26.66
2021-09-24T22:00:00+00:00,24.69,24.69
2021-09-24T23:00:00+00:00,22.72,22.72
2021-09-25T00:00:00+00:00,20.75,20.75
2021-09-25T01:00:00+00:00,20.27,20.27
2021-09-25T02:00:00+00:00,19.79,19.79
2021-09-25T03:00:00+00:00,19.31,19.31
2021-09-25T04:00:00+00:00,19.22,19.22
2021-09-25T05:00:00+00:00,19.14,19.14
2021-09-25T06:00:00+00:00,19.05,19.05
2021-09-25T07:00:00+00:00,18.05,18.05
2021-09-25T08:00:00+00:00,17.05,17.05
2021-09-25T09:00:00+00:00,16.05,16.05
2021-09-25T10:00:00+00:00,18.5,18.5
2021-09-25T11:00:00+00:00,20.96,20.96
2021-09-25T12:00:00+00:00,23.41,23.41
2021-09-25T13:00:00+00:00,23.22,23.22
2021-09-25T14:00:00+00:00,23.03,23.03
2021-09-25T15:00:00+00:00,22.83,22.83
2021-09-25T16:00:00+00:00,24.16,24.16
2021-09-25T17:00:00+00:00,25.5,25.5
2021-09-25T18:00:00+00:00,26.83,26.83
2021-09-25T19:00:00+00:00,26.17,26.17
2021-09-25T20:00:00+00:00,25.51,25.51
2021-09-25T21:00:00+00:00,24.85,24.85
2021-09-25T22:00:00+00:00,23.32,23.32
2021-09-25T23:00:00+00:00,21.79,21.79
2021-09-26T00:00:00+00:00,20.26,20.26
2021-09-26T01:00:00+00:00,19.72,19.72
2021-09-26T02:00:00+00:00,19.17,19.17
2021-09-26T03:00:00+00:00,18.62,18.62
2021-09-26T04:00:00+00:00,19.37,19.37
2021-09-26T05:00:00+00:00,20.12,20.12
2021-09-26T06:00:00+00:00,20.86,20.86
2021-09-26T07:00:00+00:00,19.3,19.3
2021-09-26T08:00:00+00:00,17.74,17.74
2021-09-26T09:00:00+00:00,16.18,16.18
2021-09-26T10:00:00+00:00,17.62,17.62
2021-09-26T11:00:00+00:00,19.05,19.05
2021-09-26T12:00:00+00:00,20.49,20.49
2021-09-26T13:00:00+00:00,22.28,22.28
2021-09-26T14:00:00+00:00,24.08,24.08
2021-09-26T15:00:00+00:00,25.87,25.87
2021-09-26T16:00:00+00:00,27.1,27.1
2021-09-26T17:00:00+00:00,28.33,28.33
2021-09-26T18:00:00+00:00,29.56,29.56
2021-09-26T19:00:00+00:00,29.2,29.2
2021-09-26T20:00:00+00:00,28.83,28.83
2021-09-26T21:00:00+00:00,28.47,28.47
2021-09-26T22:00:00+00:00,26.18,26.18
2021-09-26T23:00:00+00:00,23.9,23.9
2021-09-27T00:00:00+00:00,21.61,21.61
2021-09-27T01:00:00+00:00,21.19,21.19
2021-09-27T02:00:00+00:00,20.76,20.76
2021-09-27T03:00:00+00:00,20.34,20.34
2021-09-27T04:00:00+00:00,20.06,20.06
2021-09-27T05:00:00+00:00,19.77,19.77
2021-09-27T06:00:00+00:00,19.49,19.49
2021-09-27T07:00:00+00:00,19.22,19.22
