time,airTemperature_noaa,airTemperature_sg
2019-08-24T00:00:00+00:00,28.51,28.51
2019-08-24T01:00:00+00:00,28.5,28.5
2019-08-24T02:00:00+00:00,28.5,28.5
2019-08-24T03:00:00+00:00,28.5,28.5
2019-08-24T04:00:00+00:00,28.42,28.42
2019-08-24T05:00:00+00:00,28.34,28.34
2019-08-24T06:00:00+00:00,28.26,28.26
2019-08-24T07:00:00+00:00,28.22,28.22
2019-08-24T08:00:00+00:00,28.18,28.18
2019-08-24T09:00:00+00:00,28.14,28.14
2019-08-24T10:00:00+00:00,28.28,28.28
2019-08-24T11:00:00+00:00,28.41,28.41
2019-08-24T12:00:00+00:00,28.54,28.54
2019-08-24T13:00:00+00:00,28.61,28.61
2019-08-24T14:00:00+00:00,28.68,28.68
2019-08-24T15:00:00+00:00,28.75,28.75
2019-08-24T16:00:00+00:00,28.8,28.8
2019-08-24T17:00:00+00:00,28.85,28.85
2019-08-24T18:00:00+00:00,28.9,28.9
2019-08-24T19:00:00+00:00,28.96,28.96
2019-08-24T20:00:00+00:00,29.03,29.03
2019-08-24T21:00:00+00:00,29.1,29.1
2019-08-24T22:00:00+00:00,28.95,28.95
2019-08-24T23:00:00+00:00,28.8,28.8
2019-08-25T00:00:00+00:00,28.65,28.65
2019-08-25T01:00:00+00:00,28.7,28.7
2019-08-25T02:00:00+00:00,28.76,28.76
2019-08-25T03:00:00+00:00,28.81,28.81
2019-08-25T04:00:00+00:00,28.75,28.75
2019-08-25T05:00:00+00:00,28.69,28.69
2019-08-25T06:00:00+00:00,28.64,28.64
2019-08-25T07:00:00+00:00,28.6,28.6
2019-08-25T08:00:00+00:00,28.56,28.56
2019-08-25T09:00:00+00:00,28.52,28.52
2019-08-25T10:00:00+00:00,28.51,28.51
2019-08-25T11:00:00+00:00,28.49,28.49
2019-08-25T12:00:00+00:00,28.47,28.47
2019-08-25T13:00:00+00:00,28.52,28.52
2019-08-25T14:00:00+00:00,28.56,28.56
2019-08-25T15:00:00+00:00,28.6,28.6
2019-08-25T16:00:00+00:00,28.7,28.7
2019-08-25T17:00:00+00:00,28.8,28.8
2019-08-25T18:00:00+00:00,28.9,28.9
2019-08-25T19:00:00+00:00,28.95,28.95
2019-08-25T20:00:00+00:00,29.0,29.0
2019-08-25T21:00:00+00:00,29.05,29.05
2019-08-25T22:00:00+00:00,29.02,29.02
2019-08-25T23:00:00+00:00,28.99,28.99
2019-08-26T00:00:00+00:00,28.95,28.95
2019-08-26T01:00:00+00:00,28.95,28.95
2019-08-26T02:00:00+00:00,28.95,28.95
2019-08-26T03:00:00+00:00,28.95,28.95
2019-08-26T04:00:00+00:00,28.88,28.88
2019-08-26T05:00:00+00:00,28.82,28.82
2019-08-26T06:00:00+00:00,28.75,28.75
2019-08-26T07:00:00+00:00,28.78,28.78
2019-08-26T08:00:00+00:00,28.82,28.82
2019-08-26T09:00:00+00:00,28.85,28.85
2019-08-26T10:00:00+00:00,28.89,28.89
2019-08-26T11:00:00+00:00,28.93,28.93
2019-08-26T12:00:00+00:00,28.96,28.96
2019-08-26T13:00:00+00:00,29.0,29.0
2019-08-26T14:00:00+00:00,29.03,29.03
2019-08-26T15:00:00+00:00,29.06,29.06
2019-08-26T16:00:00+00:00,29.03,29.03
2019-08-26T17:00:00+00:00,28.99,28.99
2019-08-26T18:00:00+00:00,28.95,28.95
2019-08-26T19:00:00+00:00,29.02,29.02
2019-08-26T20:00:00+00:00,29.08,29.08
2019-08-26T21:00:00+00:00,29.15,29.15
2019-08-26T22:00:00+00:00,29.08,29.08
2019-08-26T23:00:00+00:00,29.02,29.02
2019-08-27T00:00:00+00:00,28.95,28.95
2019-08-27T01:00:00+00:00,29.02,29.02
2019-08-27T02:00:00+00:00,29.08,29.08
2019-08-27T03:00:00+00:00,29.15,29.15
2019-08-27T04:00:00+00:00,29.14,29.14
2019-08-27T05:00:00+00:00,29.13,29.13
2019-08-27T06:00:00+00:00,29.12,29.12
2019-08-27T07:00:00+00:00,29.13,29.13
2019-08-27T08:00:00+00:00,29.13,29.13
2019-08-27T09:00:00+00:00,29.14,29.14
2019-08-27T10:00:00+00:00,29.12,29.12
2019-08-27T11:00:00+00:00,29.09,29.09
2019-08-27T12:00:00+00:00,29.06,29.06
2019-08-27T13:00:00+00:00,29.13,29.13
2019-08-27T14:00:00+00:00,29.2,29.2
2019-08-27T15:00:00+00:00,29.26,29.26
2019-08-27T16:00:00+00:00,29.33,29.33
2019-08-27T17:00:00+00:00,29.39,29.39
2019-08-27T18:00:00+00:00,29.45,29.45
2019-08-27T19:00:00+00:00,29.45,29.45
2019-08-27T20:00:00+00:00,29.45,29.45
2019-08-27T21:00:00+00:00,29.45,29.45
2019-08-27T22:00:00+00:00,29.28,29.28
2019-08-27T23:00:00+00:00,29.11,29.11
2019-08-28T00:00:00+00:00,28.94,28.94
2019-08-28T01:00:00+00:00,28.84,28.84
